Designator,Mid X,Mid Y,Layer,Rotation
R130,21.600098000000003mm,38.799997000000005mm,Bottom,90.0
R129,21.600098000000003mm,34.699996999999996mm,Bottom,90.0
Y101,26.899998000000004mm,48.699997mm,Bottom,270.0
C116,27.199998mm,46.799997000000005mm,Bottom,180.0
C115,27.399998000000004mm,50.699997mm,Bottom,180.0
C124,25.299998000000002mm,36.649997mm,Bottom,180.0
R121,24.800098mm,42.999997mm,Bottom,270.0
R106,32.175098mm,53.874997mm,Bottom,90.0
J101,20.919998mm,54.084997mm,Top,180.0
C129,25.299998000000002mm,44.699996999999996mm,Bottom,180.0
C128,34.500098mm,54.599997mm,Bottom,90.0
C121,33.575098mm,33.624997mm,Bottom,270.0
C118,38.675098mm,33.224997mm,Bottom,0.0
C110,45.550098000000006mm,52.499997mm,Bottom,0.0
C109,45.800098000000006mm,45.699996999999996mm,Bottom,90.0
C108,45.849998mm,39.999997mm,Bottom,90.0
R105,46.400098mm,36.399997mm,Bottom,180.0
R104,45.799998mm,43.199996999999996mm,Bottom,90.0
R103,46.400098mm,35.399997mm,Bottom,180.0
R125,40.699998mm,36.099997mm,Bottom,180.0
C104,11.049998mm,53.349997mm,Bottom,90.0
C137,18.199998mm,51.099997mm,Bottom,180.0
D101,12.049998mm,47.399997mm,Bottom,180.0
C101,21.749997999999998mm,54.749997mm,Bottom,0.0
R102,50.499998000000005mm,54.999997mm,Bottom,180.0
R101,19.700098mm,44.399997mm,Bottom,270.0
D102,49.099398mm,53.443197mm,Top,90.0
Y102,27.600098000000003mm,41.199996999999996mm,Bottom,90.0
R122,44.099998mm,36.099997mm,Bottom,90.0
R123,43.100098mm,36.099997mm,Bottom,90.0
R127,29.674998000000002mm,54.274997mm,Bottom,270.0
R128,32.475098mm,33.624997mm,Bottom,270.0
D106,19.749997999999998mm,47.099997mm,Top,180.0
D105,19.749997999999998mm,45.299997000000005mm,Top,180.0
D107,21.549998000000002mm,49.999997mm,Bottom,180.0
D104,19.749997999999998mm,43.499997mm,Top,180.0
D103,19.749997999999998mm,41.699996999999996mm,Top,180.0
C140,24.800098mm,50.499997mm,Bottom,270.0
C132,27.300098mm,44.799997000000005mm,Bottom,180.0
C136,27.499997999999998mm,37.599997mm,Bottom,180.0
C127,24.950098mm,37.999997mm,Bottom,180.0
C138,16.574998mm,54.649997mm,Bottom,270.0
C130,26.303198000000002mm,32.250297mm,Bottom,0.0
C131,43.499998000000005mm,33.099997mm,Bottom,90.0
C122,38.599998mm,54.299997mm,Bottom,180.0
C114,45.549998mm,51.499997mm,Bottom,180.0
C119,28.099998mm,54.599997mm,Bottom,180.0
C103,9.999998mm,53.349997mm,Bottom,90.0
C113,45.699998mm,33.799997000000005mm,Bottom,180.0
C102,15.199998mm,47.499997mm,Bottom,90.0
U105,35.424998mm,43.749997mm,Top,270.0
